Test residui Sfasamento_____________________________________________
   x       y       y*      res     s_res   
1  52000.00-1.42   -1.37   -0.05   0.03    
2  57000.00-1.32   -1.29   -0.03   0.03    
3  62000.00-1.17   -1.15   -0.01   0.03    
4  62500.00-1.13   -1.13   0.00    0.03    
5  63000.00-1.13   -1.11   -0.01   0.03    
6  63500.00-1.10   -1.09   -0.01   0.03    
7  64000.00-1.05   -1.06   0.02    0.03    
8  64500.00-1.02   -1.04   0.02    0.03    
9  65000.00-1.01   -1.01   -0.01   0.03    
10 65500.00-0.98   -0.97   -0.00   0.03    
11 66000.00-0.91   -0.94   0.02    0.03    
12 66500.00-0.88   -0.90   0.02    0.03    
13 67000.00-0.84   -0.85   0.01    0.03    
14 67500.00-0.80   -0.81   0.01    0.03    
15 68000.00-0.76   -0.76   -0.00   0.03    
16 68500.00-0.70   -0.70   0.00    0.03    
17 69000.00-0.63   -0.64   0.00    0.03    
18 69500.00-0.56   -0.57   0.01    0.03    
19 70000.00-0.49   -0.49   0.01    0.03    
20 70500.00-0.41   -0.42   0.01    0.03    
21 71000.00-0.33   -0.33   0.00    0.03    
22 71500.00-0.22   -0.24   0.02    0.03    
23 72000.00-0.14   -0.15   0.02    0.03    
24 72100.00-0.14   -0.14   -0.00   0.03    
25 72200.00-0.12   -0.12   -0.00   0.03    
26 72300.00-0.08   -0.10   0.02    0.03    
27 72400.00-0.07   -0.08   0.01    0.03    
28 72500.00-0.11   -0.06   -0.05   0.03    
29 72600.00-0.09   -0.04   -0.05   0.03    
30 72700.00-0.06   -0.02   -0.04   0.03    
31 72800.00-0.05   -0.01   -0.05   0.03    
32 72900.00-0.03   0.01    -0.04   0.03    
33 73000.000.05    0.03    0.01    0.03    
34 73100.000.07    0.05    0.02    0.03    
35 73200.000.08    0.07    0.01    0.03    
36 73300.000.11    0.09    0.02    0.03    
37 73400.000.12    0.10    0.02    0.03    
38 73500.000.15    0.12    0.03    0.03    
39 74000.000.23    0.21    0.02    0.03    
40 74500.000.32    0.29    0.02    0.03    
41 75000.000.40    0.37    0.03    0.03    
42 75500.000.41    0.45    -0.04   0.03    
43 76000.000.48    0.52    -0.04   0.03    
44 76500.000.53    0.58    -0.05   0.03    
45 77000.000.59    0.64    -0.05   0.03    
46 77500.000.70    0.69    0.01    0.03    
47 78000.000.75    0.74    0.01    0.03    
48 78500.000.80    0.78    0.02    0.03    
49 79000.000.82    0.82    -0.01   0.03    
50 79500.000.86    0.86    0.01    0.03    
51 80000.000.89    0.89    0.00    0.03    
52 80500.000.93    0.92    0.01    0.03    
53 81000.000.98    0.95    0.03    0.03    
54 81500.001.00    0.97    0.03    0.03    
55 82000.001.03    1.00    0.03    0.03    
56 82500.001.03    1.02    0.01    0.03    
57 83000.001.05    1.04    0.01    0.03    
58 83500.001.06    1.06    0.00    0.03    
59 84000.001.10    1.08    0.03    0.03    
60 89000.001.25    1.20    0.05    0.03    
61 94000.001.24    1.27    -0.03   0.03    
62 99000.001.29    1.31    -0.03   0.03    
63 104000.001.31    1.35    -0.03   0.03    

Somma residui = 1.26
